,0
0,unfortunately ability actually know receiving call rather important feature phone pitiful respect
1,excellent product satisfied purchase
2,first charge kept going dead minute
3,worst customer service ever
4,great jawbone
5,work described
6,mine year christmas bought rest family
7,infuriating
8,well designed sharp blue nice color
9,gave star sound quality
10,far good
11,loudspeaker option great bumper light appealing
12,like loud buzzing override conversation phone
13,good bargain
14,reaching bottom row uncomfortable send end key expect
15,sweetest phone
16,really nothing bad say headset
17,easy pair samsung cell
18,perfect p
19,however year fliptop started get loose wobbly eventually screen went black receive place call
20,unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc
21,phone load super
22,handsfree part work fine car try download address book treo reboots overall still rate device high
23,product cover important light sensor ear outlet
24,bought use kindle fire absolutely loved
25,nice headphone price work great
26,reversible plug work great
27,doe work listening music cingular
28,love able use one headset land line cell
29,hate earbugs avoid phone mean
30,prompt service
31,good phone
32,never got
33,might gotten defect would risk buying built quality alone
34,good case excellent value
35,glad found product amazon hard find high priced
36,phone work great
37,majority logitech earbud headset failed
38,love phone
39,awkward use unreliable
40,nearly year ha worked great
41,sound clear people talk amazed quality
42,great hand free device
43,worst phone ever month
44,would take long describe bad customer service experience ha amazon
45,store anything phone number sim
46,advise everyone fooled
47,simple little phone use breakage unacceptible
48,great price
49,simply want small flip phone look elsewhere extra bell whistle mediocre
50,week far good
51,even dropped phone stream wa submerged second still work great
52,ear occupied background distracting
53,camera color balance awful
54,hold charge long time reasonably comfortable long wearing condition quality sound tremendous
55,ha winner u
56,work europe asia
57,light easy use ha clear reception transmission
58,cutout button placed perfectly
59,wish could return unit get back money
60,worst piece crap ever along verizon customer service
61,leather nice soft fit tight cut face good shape
62,jerk phone
63,case wa le extra originally put later discarded scratched ear
64,happy product
65,year battery went completely dead headset
66,sorry made purchase
67,unfortunately easy accidentally activate gentle touch button accidentally touch phone face listening
68,recently problem could stay connected minute disconnected
69,audio quality poor poor
70,also phone dropped case going save specially dropped face
71,phone year tell great
72,user friendly
73,buy different phone
74,fit securely ear hook doe even need used sound better directed ear canal
75,purchase different case
76,first wear well
77,order
78,like loud buzzing override conversation phone
79,disappointment
80,buy product fails
81,find bad unit come one earpad would recommend anyone
82,dissapointing performance
83,w superb
84,hold charge
85,worthwhile
86,bother go store
87,best headset used
88,awesome device
89,bluetoooth headset time still comfortable way fit ear
90,love phone
91,ear bud play music one ear
92,could recommend
93,improper description return
94,used dirty
95,love thing
96,charger arrived within promised timeframe work
97,also area unit broke fond magnetic strap
98,still waiting sure item would work well ever recieve
99,eargels channel sound directly ear seem increase sound volume clarity
100,receiving using product day broke
101,hand best phone ever
102,fit ear well comfortable
103,product ideal people like whose ear sensitive
104,received supposedly new motorola apparently wa match phone charger
105,jawbone era awesome
106,great value
107,excellent sound quality
108,dont waste money
109,phone fast sending kind message web browsing significantly faster previous phone used
110,possesed get junk idea
111,excellent product
112,best rotating feature helpful
113,soyo technology suck
114,work cell phone plug set charger
115,item fantastic work perfectly
116,love look feel samsung flipphones
117,bad quality
118,excellent starter wireless headset
119,additional ear gel provided instruction whatsoever
120,company joke
121,really good far probably best bt headset ever
122,doe fit
123,att clear sound distorted yell talk
124,allows possibility double booking date time first
125,frog phone charm adorable eye catching
126,disappointed decision
127,also happy price
128,battery work great
129,satisifed
130,one favorite purchase ever
131,quite satisfied purchase
132,stay away q
133,around year carry highest quality anti glare screen protector found date
134,bought two neither charge
135,great using home stereo
136,happy product
137,total package
138,bought hoping could make bluetooth headset fit better thing made impossible wear
139,really pleased product far
140,make easier keep bluetooth wearing
141,ha kept well
142,buy want use holster
143,oh charger seems work fine
144,warranty problem reoccure bottom line put money somewhere else cingular support
145,great product fast shipping
146,piece junk lose call phone
147,essentially forget microsoft tech support
148,trying make call exercise frustration
149,nice headset priced right
150,could get strong enough signal
151,pair headphone worst ever sound wise
152,pairing two device wa easy barely took couple minute started making call voice dialing feature
153,make mistake please buy phone
154,regret
155,would reccommend
156,good wearing hat sunglass
157,must study anyone interested worst sin industrial design
158,work great
159,pretty piece junk
160,definitely bargain
161,sound quality good functionality awesome
162,talk useless customer service
163,wa impressed price case
164,thank great service
165,felt light tinny
166,placed treo case wa snug wa lot extra room side
167,wa sitting vehicle cradle belt headset lost signal
168,internet excrutiatingly slow
169,lightweight work well
170,poorly contstruct hinge
171,easy use
172,waste one
173,charge
174,make mistake
175,instruction manual lacking
176,week later activated suddenly died
177,nano stated son wa dissapointed
178,never know pushed hard enough right number time function want
179,wanted
180,purcashed car charger doe work
181,wa waste money
182,arrived quickly much le expensive others sold
183,absolutely great
184,battery last hour
185,dit work time nokia
186,love camera really pretty good quality
187,great price also
188,excellent product price
189,doe work
190,extremely slow take forever anything
191,good quality bargain bought bought cheapy big lot sounded awful people end hear
192,go store bought new nokia phone working great
193,comfortable ear
194,would recommend item
195,kept catching cable seat pull phone turn
196,keyboard nice compromise full qwerty basic cell phone number keypad
197,looking good quality motorola headset keep looking
198,unusable moving car freeway speed
199,best bluetooth market
200,plantronics bluetooth excelent buy
201,worked well paired treo w skype headset pc using usb bluetooth transceiver
202,got phone around end may completely unhappy
203,barely ever hear constantly saying
204,horrible tick sound background call never experienced
205,terrible product waste money
206,posted detailed comment grey black phone fire red great color
207,took wa one drop inch kitchen counter wa cracked impressed laughing
208,dropped phone time say even concrete phone still great knock wood
209,love device
210,waste
211,buy product
212,doe everything
213,stay away store careful
214,continue pairing periodically since somehow kept dropping
215,great product price
216,plug wa wrong size
217,charger worked week completely stopped charging phone
218,five star plus plus
219,none tone acceptable
220,get pay guess
221,button bad
222,essentially communication tool doe communicate
223,trust website expect helpful support
224,really good product
225,exchanged phone even problem
226,went motorola website followed direction could get pair
227,volume ringer real good choice loud
228,ordered motorola data cable got well finished working product
229,super charged use small hybrid palmtop camera cellphone excels role
230,work fine motorola cellphone lot better worn battery
231,think wa good investment
232,sister ha one also love
233,better expect
234,love cable allows connect mini usb device pc
235,unreliable giving
236,work good
237,simple lightweight great fit
238,two year left contract hate phone
239,however riingtones best neither game
240,phone crashed completely get replaced
241,shipping time wa also quick
242,obviously terrible customer service get pay
243,enough volume
244,design odd ear clip comfortable
245,nice quality build unlike cheap
246,people couldnt hear talk pull earphone talk phone
247,last time buying
248,great phone
249,searched internet found one best value
250,answer call unit never worked
251,nice solid keyboard
252,excellent wallet type phone case
253,look good picture case wa huge disappointment
254,good price
255,bought wired headphone sound better
256,really easy
257,still maintain monkey make headphone obviously share enough dna copy design human
258,plugged find darn thing worked
259,use product motor control center lot high voltage humming equipment work great
260,dont buy
261,much le jawbone wa going replace
262,also make easier hold
263,reception ha generally good
264,kind embarrassing use look mostly embarrassing child like company
265,nice design quality
266,beautiful phone
267,case tried normally fall apart month one seems long haul
268,use smallest earpiece provided stay pretty well
269,made case small difficult install
270,item worked great broke month use
271,battery life highly unacceptable
272,would definitely recommend jabra bt v looking comfort clarity great price
273,device great several situation
274,waste money time
275,big disappointment calendar sync
276,wa excited get headset thought wa really cute
277,feel comfortable headset wear glass get way sometimes
278,buyer beware could flush money right toilet
279,provides good protection look classy
280,lasted one day blew
281,could take video time quality wa poor
282,battery life real good
283,picture resolution far comparably priced phone offering today
284,highly recommend device everyone
285,defeat purpose bluetooth headset
286,got phone reccomendation relative glad
287,know sound funny seemed like sketchy technology work well well one work great
288,battery charge life quite long
289,work comfortable
290,get extra minute carry call get cut
291,tracfonewebsite user friendly make easy toactivate etc
292,battery life also great
293,complaint standard sound volume little low even turned
294,bar cell phone home cant hear anything
295,best charger seen market yet
296,look great strong
297,buy buyit suck
298,pairing iphone could happier far
299,jabra earset wa happy sound quality especially outgoing better
300,got aluminum case new palm vx worked really well ha protected handheld perfectly far
301,charging overnight battery work great
302,superb phone great network
303,sound quality device unacceptable unless really quiet area almost hear nothing
304,jabra ear gel r best
305,great wa new packaged nice work good problem came le time expected
306,choice headset year great sound good volume good noise cancellation
307,joy use
308,great problem
309,none work buy
310,phone sturdy nokia bar phone
311,bought mother problem battery
312,however girl wa complain time phone wake like normal phone doe
313,tied charger conversation lasting minute major problem
314,found product waaay big
315,really disappointed charger work
316,wa able voice dialing car problem
317,like design look jabra behing ear headset pretty comfortible wear hour day without pain ear
318,perhaps phone defective people hear use
319,phone slide around car grip prevents phone slipping hand
320,great deal
321,happy complaint one regarding sound quality end
322,great phone
323,worked great
324,pleased headset
325,thank wasting money
326,seems completely secure holding belt keeping iphone inside
327,yet run new battery two bar three day without charging
328,holster arrived match photo ad
329,phone get extremely hot
330,phone slim light display beautiful
331,excellent dual purpose headset
332,tried unit failed within month pro
333,buyer remorse one
334,great phone
335,fantastic earphone
336,awesome new look fall
337,waste buck
338,wind completely useless
339,microphone also work well according people called applifies everything
340,figure
341,phone try hard everything fails ability phone
342,disappointing accessory good manufacturer
343,piece trash
344,protects phone side
345,well made fit surefire gx perfectly
346,everything fine reasonable price e
347,work great car charger especially plug two adapter time
348,performed awful muffled tinny incoming sound severe echo end call
349,wa inexpensive piece would still expected better quality
350,make look cool
351,tmobile service year pretty happy
352,thanks amazon thing need good price
353,love great armband
354,design might ergonomic theory could stand ear
355,exactly wanted
356,great headset impressed h
357,work great
358,horrible horrible protector
359,delivery wa time
360,phone fall easily
361,returning
362,bought phone replacement startac regretted since
363,keep good work amazon
364,defective crap
365,sanyo ha survived dozen drop blacktop without ill effect
366,magical help
367,disapointing result
368,sound quality end excellent use headset call wife ask wife use headset call
369,made sturdy
370,krussel always good
371,bought saved alot money
372,read review problem
373,love ringtones upbeat
374,otherwise easy install use clear sound
375,work people hear talk
376,owned phone month say best mobile phone
377,verizon bill however difficult understand even though pricing plan simple
378,bottowm line another worthless cheap gimmick sprint
379,reception poor
380,definitly recommend
381,restored phone like new performance
382,horrible phone
383,want money back
384,house wa getting dropped coverage upstairs coverage basement
385,definitely wa good
386,phone working fine
387,buy product
388,clear quality sound mess sound ipod since sound button headset
389,bt battery junk
390,someone shouldve invented sooner
391,work
392,shifting bubbling peeling even scratch nothing happier new one droid
393,received order well within shipping timeframe everything wa good working order overall excited source
394,terrible phone holder
395,setup simpler
396,disappointed
397,span hour two people exclaim whoa new phone tv
398,new battery work great phone
399,get signal verizon phone
400,really wanted plantronics right one ha many issue good
401,using iriver spinn case fit fine
402,bluetooth week really like
403,happy purchase good quality low price
404,phone hold charge like wa new
405,oh forgot also mention weird color effect ha phone
406,need least min get phone book time first turn phone battery life short
407,work
408,phone pretty sturdy never large problem
409,job
410,especially love long battery life
411,disappointing
412,purchase phone
413,convenient simple use get job done make car ride much smoother
414,pleased
415,phone thorn side really abhor
416,look sharp screen nice clear great graphic
417,good item worked started problem auto reverse tape player
418,biggest complaint battery drain superfast
419,bit disappointed
420,wasted little money earpiece
421,take battery phone put back together restart
422,great deal
423,problem wit hit dropping signal
424,avoid one
425,amazon suck
426,particular model would work motorola q smartphone
427,call drop phone come screen go black worst stop ringing intermittently
428,range decent able roam around house phone living room reception sound quality issue
429,freeze frequently
430,cheap hey work wa pleasantly suprised given low cost item
431,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
432,mic great
433,drivng along headset start ringing reason
434,far ha worked like charm
435,linked phone without effort
436,love thin
437,doe charge cingular att phone
438,im surprised good quality car charger much review
439,timely shipment quality product
440,worked well
441,plug work well
442,thing think could improve sound leak headset
443,problem ear loop made weak material break easily
444,good item low price
445,price wa good free shipping wa good purchase
446,plan ordering
447,nice case feel good hand
448,stupid
449,well packaged arrived time work intended
450,replacement died week
451,razr battery good buy
452,use case smell disgusting
453,bad reception
454,poor voice clarity
455,unreliable service mobile
456,drain player may also potentially fry
457,contacted company told although unit wa still warranty produce receipt wa luck
458,work like charm work advertised
459,make strange ticking noise end call
460,would recommend item anyone
461,overall would recommend phone new walkman
462,bad choice
463,usually like headband one lightweight mess hair
464,fix problem
465,good show samsung
466,looking new earpiece
467,phone take forever charge like hour literally
468,reception excellent
469,pretty easy
470,excellent hand free tool
471,check voice mail night keypad backlight turn second first message lost
472,addition feel amp look phone lightweight cheap plastic
473,trying many many handsfree gadget one finally work well
474,simple use like
475,good hoped
476,comfortable nice range good battery life
477,would recommend others
478,voice recognition thru handset excellent
479,warning buy
480,research development division obviously know
481,recognizes phone storage device
482,doe fit
483,ended sliding edge pant back pocket instead
484,think would hold securly belt
485,noise shield incrediable
486,jiggle plug get line right get decent volume
487,disappointed
488,lot website rating good phone
489,speaker low quality making ring tone sound cheap
490,upload ringtones third party
491,tried talking real loud shouting telephone get old wa still told great
492,find cell phone right away enter car
493,real improvement
494,returned hour later
495,sending back
496,like return
497,take picture battery drop bar start beeping letting know dieing
498,horrible switch time
499,wa happy item
500,camera although rated impressive megapixels render image fall well expectation relatively high resolution
501,network coverage los angeles horrible
502,worked perfectly
503,use unit sunglass good texas
504,absolutel junk
505,feel poorly constructed menu difficult navigate button recessed difficult push
506,instruction explain microphone jack could used
507,plastic break really easy clip
508,worth every penny
509,commercial misleading
510,disappointed accessoryone
511,keyboard really worthwhile usefulness sturdy enough expect problem
512,get absolutely horrible reception apartment phone problem
513,worst software ever used could give zero star would
514,screen doe get smudged easily touch ear face
515,work great cat attacked phone scratched protective strip instead destroying screen
516,first thing happened wa tracking wa
517,headset work peachy keen
518,battery terrible
519,beware
520,even bmw series fairly quiet trouble hearing person saying
521,good work fine
522,nearly good looking amazon picture make look
523,clipping belt deffinitely make feel like cent coming
524,great charger
525,item doe match picture
526,plus seriously believe worth steep price point
527,also phone seem accept anything except cbr mp preferably ripped window medium player
528,fabulous
529,phone sounded ok great ok wife phone wa almost totally unintelligible understand word said
530,displeased
531,accompanied software almost brilliant
532,hold phone particular angle party hear clearly
533,work well
534,treo mobile refused replace forced buy another phone without kind upgrade discount
535,overall psyched phone ha appointment contact get great reception
536,good enough price
537,basically service wa bad
538,first reception suck never bar ever
539,one thing hate mode set button side
540,great phone
541,impressed job motorola sturdiness phone
542,battery ha life
543,ear loop needed tiny sound great
544,would recommend
545,mic joke volume quite low
546,seller shipped quickly much cheaper competitor
547,leopard print wonderfully wild
548,wa looking headset long time got happier
549,fit comfortably came three size earbud tip
550,worst phone samsung crap crappy samsung e worst ever seeen
551,better new
552,jabra eargels fit ear well
553,product great make working lot easier go copier waiting hold something
554,average phone bad battery life operates weak network
555,good quality
556,would advise purchase item never worked well
557,every thing phone work perfectly like
558,came verizon cingulair ha nicer cell phone first thing noticed wa really bad service
559,care consumer one bit
560,little geeky think thats sex toast rock ooze sex right battery embedded sleek stylish leather case
561,rip charge shipping
562,best headset ever
563,love product
564,ngage still lacking earbuds
565,disappointing
566,however needed better instruction
567,easy use
568,great tool entertainment communication data management oh sure use activesync optimal data synchronization result
569,know made wise decision
570,much better hard plastic case
571,drain
572,disappointment hate anything go ear
573,chinese forgery abound
574,useless phone simply deaf
575,case seems well made
576,highly recommend one ha blue tooth phone
577,ha great camera thats mp pic nice clear great picture quality
578,waste time
579,poor reliability
580,phone might well worst ever brand
581,one work wa priced right
582,colleague get great reception little expensive performance great
583,case ha passed one year mark show sign wear functional
584,mobile ha best customer service anywhere
585,item great installed let charged overnite ha working good every since problem
586,earlier review noted plug charger nothing happens
587,waste money
588,great software motorolas
589,right mind gon na buy battery
590,cool case open allowing screen get scratched
591,problem item would order needed
592,good value work fine power via usb car wall outlet
593,update procedure difficult cumbersome
594,phone got year old slowly breaking despite much care part
595,plan use car forget
596,nice docking station home work
597,work
598,sound good reasonably priced effective simple
599,cheap plastic creak like old wooden floor
600,bose noise cancelling amazing important nyc commuter
601,first phone ha cheaply made
602,clear crisp sound
603,fit like glove strong secure durable
604,despite flaw case exceptional quality well worth additional cost owning official oem product
605,day later puff smoke came phone use
606,doe work
607,great bluetooth
608,however bt headset currently good real time game like first person shooter since audio delay mess
609,wa impressed going original battery extended battery
610,long lasting battery recharge frequentyly flip phone
611,would recommend
612,gosh best phone ever
613,work fine
614,worst customer service
615,checked everywhere feature really disappointing
616,uncomfortable ear use lg vx env
617,good quality though
618,logitech bluetooth headset
619,text messaging feature really tricky use
620,poor quality service
621,ring tone overall good phone buy
622,igo charger tip really great
623,price wa great deal
624,comfortable wear well probably important aspect using case
625,authentic leather nice shine comfort recommend case
626,used several phone two year one best
627,best electronics available fm transmitter
628,kind flop around
629,trouble accessing internet downloading ringtones performing function
630,like fact rest lightly ear rather inside
631,sprint charge service
632,got car charger even week charger wa broken went plug started smoking
633,get job done
634,doe maintain connection computer lap
635,little device ha transformed organizational capability made life whole lot easier
636,found product easy set use
637,bt headset wa disapoinment
638,doe everything description said would
639,product useless since doe enough charging current charge cellphone wa planning use
640,beat price
641,doe fit palm tungsten e broke first time tried plug
642,however keypad tinny sometimes reach wrong button
643,purchased family friend enjoy clarity ease use
644,customer service wa terrible
645,case best part download picture laptop using ir even send picture laptop phone
646,case would order another
647,purchased within day wa longer working
648,great pocket pc phone combination
649,price amazon excellent product would highly recommend
650,absolutely problem headset linking blackberry curve
651,doe get better reception clarity phone
652,make call certain place
653,work great
654,great little item
655,ordered sony ericsson w think worked thats first used
656,highly recommend modest priced cellular phone
657,easy turn car volume control quite accessable
658,pleather case fit
659,would recommend purchasing jabra jx series work flawlessly moto q go figure
660,great phone
661,many people complained found headset microphone wa weak
662,cable look thin flimsy scary
663,missed numerous call reason
664,open battery connection broken device turned
665,phone sturdy waterproof
666,make mistake
667,save money item month
668,nice sound
669,really like product motorola allot clearer ear piece mic
670,file browser offer option one need handsfree great
671,warning stay away
672,also like button felt like would crack use
673,reading spec alone make say wow
674,huge design flaw unless using correctly think case
675,love headset
676,worthless product
677,always cut make beep beep beep sound say signal failed
678,mobile phone tool must
679,say
680,happy far
681,setup went smoothly
682,volume switch rocketed unit destination unknown
683,beautiful styling though
684,please dont waste money
685,attractive appears good quality
686,razr owner must
687,worth
688,impressed
689,buyer careful
690,battery completely useless
691,hear garbage audio
692,usable keyboard actually turn pda real world useful machine instead neat gadget
693,company charge restocking fee still given refund back
694,excellent phone
695,bought nokia cell phone week ago wa nightmare
696,good stuff price
697,several different minute call experienced drop wa area bar
698,anyone near hear part conversation
699,finally three four time spring latch broke could use longer visor
700,well im satisfied
701,recommend buying product
702,great product
703,last forever overly expensive replace easy operate sound much better others tried
704,comfortable
705,love phone handy ha lot feature
706,bad purchase
707,wa much hype phone assumed wa best mistake
708,mic work
709,excellent product price
710,work week break
711,ordered product first wa unhappy immediately
712,managed bend leaf spring back place metal ha enough stress break next drop
713,product high quality chinese crap
714,put latest v g like slow crawl lock every
715,used two day always easy hear
716,hear driving car usually even put loudest setting
717,expected better consumer experience motorola
718,earbud piece break easily
719,verizon tech support walked procedure none worked ended hard set wiping data
720,good transmit audio
721,steer clear product go genuine palm replacementr pen come three pack
722,great sound service
723,excellent sound battery life inconspicuous boot
724,great product sure beat using finger
725,great earpiece
726,light weight hardly notice
727,received white colored battery go dead couple hoursthe original used last week still last longer thereplacement
728,exchanged sony ericson z pretty happy decision
729,bluetooth doe work phone lock screen flash make call randomly pocket locked
730,great audio
731,used talk hour battery would literally drained dying
732,like nokia either
733,wa hoping
734,really recommend faceplate since look nice elegant cool
735,cool
736,crisp clear
737,wa great phone
738,excellent tool especially paired phone auto answer
739,piece junk broke phone day
740,received quickly work great
741,great phone
742,item received wa counterfeit
743,battery unreliable well service use antena
744,think instruction provided helpful
745,car charger well ac charger included make sure never run juice highy recommended
746,poor sound quality
747,excellent bluetooth headset
748,work like charm work one got phone
749,linksys way exchange bad phone refurb unit something
750,however ear pad come easily one week lost one
751,product wa excellent work better verizon one boy wa cheaper
752,love bluetooth
753,wa loud glad say plantronics maintains flawless connection cell static normal use
754,wa horrible
755,buy wrongly advertised
756,click place way make wonder long mechanism would last
757,trouble volume
758,excellent service
759,comfortable hand
760,problem others mentioned
761,good product well made
762,great phone
763,nice leather
764,simply best bluetooth headset sound quality
765,battery excellent bargain
766,poor talk time performance
767,comfort whole family
768,bought mainly charger broke soon purchasing
769,would given star wa able
770,color even prettier thought would graphic incredibly sharp
771,design flaw
772,ha working great
773,disappointed
774,mega pixel camera part phone reasonably good
775,reception headset excellent
776,look nice
777,said phone camera nice many cool effect play video decent well
778,said pretty useless
779,sprint terrible customer service
780,disappointed
781,fast service
782,iam pleased purchase
783,reception terrible full static
784,yet plantronincs continues use flawed charger design
785,highly recommend case
786,bother contacting company dollar product learned lesson bought form online anyway
787,bad fit way big
788,light ha plenty battery capacity confortable wear somewhat extended period time
789,internet access wa fine rare instance worked
790,practically useless add kind boost reception bought
791,wear everyday hold well
792,blue ant easy use
793,one big drawback mp player button phone front cover let pause skip song lock second
794,way plug u unless go converter
795,also problem phone reading memory card always turn
796,great would really recommend
797,wa amazed quick arrival two original lg cell phone battery fraction price
798,sound quality excellent well
799,good battery got really fast
