,Reviews,Sentiment,Clean_reviews
0,So there is no way for me to plug it in here in the US unless I go by a converter.,0,way plug u unless go converter
1,"Good case, Excellent value.",1,good case excellent value
2,Great for the jawbone.,1,great jawbone
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,tied charger conversation lasting minute major problem
4,The mic is great.,1,mic great
5,I have to jiggle the plug to get it to line up right to get decent volume.,0,jiggle plug get line right get decent volume
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,several dozen several hundred contact imagine fun sending one one
7,If you are Razr owner...you must have this!,1,razr owner must
8,"Needless to say, I wasted my money.",0,needle say wasted money
9,What a waste of money and time!.,0,waste money time
10,And the sound quality is great.,1,sound quality great
11,He was very impressed when going from the original battery to the extended battery.,1,wa impressed going original battery extended battery
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,two seperated mere ft started notice excessive static garbled sound headset
13,Very good quality though,1,good quality though
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,design odd ear clip comfortable
15,Highly recommend for any one who has a blue tooth phone.,1,highly recommend one ha blue tooth phone
16,I advise EVERYONE DO NOT BE FOOLED!,0,advise everyone fooled
17,So Far So Good!.,1,far good
18,Works great!.,1,work great
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,0,click place way make wonder long mechanism would last
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,went motorola website followed direction could get pair
21,I bought this to use with my Kindle Fire and absolutely loved it!,1,bought use kindle fire absolutely loved
22,The commercials are the most misleading.,0,commercial misleading
23,I have yet to run this new battery below two bars and that's three days without charging.,1,yet run new battery two bar three day without charging
24,I bought it for my mother and she had a problem with the battery.,0,bought mother problem battery
25,Great Pocket PC / phone combination.,1,great pocket pc phone combination
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,owned phone month say best mobile phone
27,I didn't think that the instructions provided were helpful to me.,0,think instruction provided helpful
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,people couldnt hear talk pull earphone talk phone
29,Doesn't hold charge.,0,hold charge
30,"This is a simple little phone to use, but the breakage is unacceptible.",0,simple little phone use breakage unacceptible
31,This product is ideal for people like me whose ears are very sensitive.,1,product ideal people like whose ear sensitive
32,It is unusable in a moving car at freeway speed.,0,unusable moving car freeway speed
33,I have two more years left in this contract and I hate this phone.,0,two year left contract hate phone
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,car charger well ac charger included make sure never run juice highy recommended
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,need least min get phone book time first turn phone battery life short
36,It has kept up very well.,1,ha kept well
37,Poor Talk Time Performance.,0,poor talk time performance
38,The case is great and works fine with the 680.,1,case great work fine
39,worthless product.,0,worthless product
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,ha great camera thats mp pic nice clear great picture quality
41,I was not impressed by this product.,0,wa impressed product
42,Nice headset priced right.,1,nice headset priced right
43,I only hear garbage for audio.,0,hear garbage audio
44,Excellent bluetooth headset.,1,excellent bluetooth headset
45,It has all the features I want,1,ha feature want
46,Who in their right mind is gonna buy this battery?.,0,right mind gon na buy battery
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,arguing verizon regarding dropped call returned phone two day
48,This case seems well made.,1,case seems well made
49,Disappointed with battery.,0,disappointed battery
50,Not loud enough and doesn't turn on like it should.,0,loud enough turn like
51,good protection and does not make phone too bulky.,1,good protection doe make phone bulky
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,usable keyboard actually turn pda real world useful machine instead neat gadget
53,This phone is pretty sturdy and I've never had any large problems with it.,1,phone pretty sturdy never large problem
54,I love this thing!,1,love thing
55,Everything about it is fine and reasonable for the price i.e.,1,everything fine reasonable price e
56,VERY DISAPPOINTED.,0,disappointed
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,even dropped phone stream wa submerged second still work great
58,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,happy complaint one regarding sound quality end
59,The buttons for on and off are bad.,0,button bad
60,Essentially you can forget Microsoft's tech support.,0,essentially forget microsoft tech support
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1,really recommend faceplate since look nice elegant cool
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,headphone great find think perhaps best purchase made last several year seriously
63,Buy a different phone - but not this.,0,buy different phone
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,0,hold phone particular angle party hear clearly
65,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,one big drawback mp player button phone front cover let pause skip song lock second
66,"A week later after I activated it, it suddenly died.",0,week later activated suddenly died
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,feel comfortable headset wear glass get way sometimes
68,Great for iPODs too.,1,great ipod
69,This device is great in several situations:1.),1,device great several situation
70,Mic Doesn't work.,0,mic work
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,even bmw series fairly quiet trouble hearing person saying
72,Great choice!,1,great choice
73,Nice docking station for home or work.,1,nice docking station home work
74,This is a beautiful phone.,1,beautiful phone
75,Love this product.,1,love product
76,Do Not Buy for D807...wrongly advertised for D807.,0,buy wrongly advertised
77,This is a great little item.,1,great little item
78,"I love this phone , It is very handy and has a lot of features .",1,love phone handy ha lot feature
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0,purchased within day wa longer working
80,I wear it everyday and it holds up very well.,1,wear everyday hold well
81,Not a good bargain.,0,good bargain
82,"Well packaged, arrived on time, and works as intended.",1,well packaged arrived time work intended
83,The battery runs down quickly.,0,battery run quickly
84,"This item worked great, but it broke after 6 months of use.",0,item worked great broke month use
85,The headsets are easy to use and everyone loves them.,1,headset easy use everyone love
86,This phone works great.,1,phone work great
87,The construction of the headsets is poor.,0,construction headset poor
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1,product wa excellent work better verizon one boy wa cheaper
89,The phone loads super!,1,phone load super
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,product cost much one doe expect work far better greater ease thing doe
91,Made very sturdy.,1,made sturdy
92,Worked great!.,1,worked great
93,The ear buds only play music in one ear.,0,ear bud play music one ear
94,Dont waste your money...,0,dont waste money
95,Will order from them again!,1,order
96,If you plan to use this in a car forget about it.,0,plan use car forget
97,I found this product to be waaay too big.,0,found product waaay big
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,best found far tried bluetooths one ha best quality listener well ease using
99,I'm very disappointed with my decision.,0,disappointed decision
100,Integrated seamlessly with the Motorola RAZR phone.,1,integrated seamlessly motorola razr phone
101,"Buyer Beware, you could flush money right down the toilet.",0,buyer beware could flush money right toilet
102,Definitely a bargain.,1,definitely bargain
103,The price was very good and with the free shipping and all it was a good purchase.,1,price wa good free shipping wa good purchase
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,received supposedly new motorola apparently wa match phone charger
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,pro good camera nice picture also ha cool style like black white
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,huge design flaw unless using correctly think case
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,love headset jabra bluetooth headset great reception good ear piece comfortable fit
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,camera although rated impressive megapixels render image fall well expectation relatively high resolution
109,I purcashed this for the car charger and it does not work.,0,purcashed car charger doe work
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,sound quality end excellent use headset call wife ask wife use headset call
111,This phone is slim and light and the display is beautiful.,1,phone slim light display beautiful
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,little geeky think thats sex toast rock ooze sex right battery embedded sleek stylish leather case
113,"Great product, fast shipping!.",1,great product fast shipping
114,Absolutely great.,1,absolutely great
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,keyboard nice compromise full qwerty basic cell phone number keypad
116,i got this phone around the end of may and i'm completely unhappy with it.,0,got phone around end may completely unhappy
117,It is very comfortable on the ear.,1,comfortable ear
118,It has been a winner for us.,1,ha winner u
119,)Setup couldn't have been simpler.,1,setup simpler
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,tried several different earpiece cell phone jabra one first one found fit ear comfortably
121,Could not get strong enough signal.,0,could get strong enough signal
122,Iam very pleased with my purchase.,1,iam pleased purchase
123,Bad Quality.,0,bad quality
124,Gets the job done.,1,get job done
125,Great audio!.,1,great audio
126,Basically the service was very bad.,0,basically service wa bad
127,it did not work in my cell phone plug i am very up set with the charger!.,0,work cell phone plug set charger
128,"I've only had my bluetooth for a few weeks, but I really like it.",1,bluetooth week really like
129,The BT headset was such a disapoinment.,0,bt headset wa disapoinment
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1,small even realize getting used
131,The accompanied software is almost brilliant.,1,accompanied software almost brilliant
132,Headset works great & was packaged nicely to avoid any damage.,1,headset work great wa packaged nicely avoid damage
133,!I definitly recommend!!,1,definitly recommend
134,Buyer--Be Very Careful!!!!!.,0,buyer careful
135,The majority of the Logitech earbud headsets failed.,0,majority logitech earbud headset failed
136,Very good stuff for the price.,1,good stuff price
137,My headset works just peachy-keen.,1,headset work peachy keen
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,house wa getting dropped coverage upstairs coverage basement
139,Voice recognition is tremendous!,1,voice recognition tremendous
140,What a waste.,0,waste
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,several different minute call experienced drop wa area bar
142,I was not happy with this item.,0,wa happy item
143,very disappointed.,0,disappointed
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0,phone take forever charge like hour literally
145,I got this phone on reccomendation from a relative and I'm glad I did.,1,got phone reccomendation relative glad
146,What a waste of time!,0,waste time
147,Its reception is very very poor.,0,reception poor
148,Items stated as included from the description ARE NOT INCLUDED.,0,item stated included description included
149,"After 3 months, screen just went black all of a sudden.",0,month screen went black sudden
150,I Was Hoping for More.,0,wa hoping
151,"Audio Quality is poor, very poor.",0,audio quality poor poor
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,absolutely problem headset linking blackberry curve
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,know sound funny seemed like sketchy technology work well well one work great
154,I've bought $5 wired headphones that sound better than these.,0,bought wired headphone sound better
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,phone fast sending kind message web browsing significantly faster previous phone used
156,"Nice quality build, unlike some cheap s*** out there.",1,nice quality build unlike cheap
157,This item is fantastic and works perfectly!,1,item fantastic work perfectly
158,And I just love the colors!,1,love color
159,W810i is just SUPERB.,1,w superb
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,whine internet go use thing le like
161,Great charger.,1,great charger
162,This is essentially a communications tool that does not communicate.,0,essentially communication tool doe communicate
163,Works like a charm; it work the same as the one I got with the phone.,1,work like charm work one got phone
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,still maintain monkey make headphone obviously share enough dna copy design human
165,Great Value.,1,great value
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0,work bougth l c working
167,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,look sharp screen nice clear great graphic
168,doesn't last long.,0,last long
169,One thing I hate is the mode set button at the side.,0,one thing hate mode set button side
170,EXCELLENT SERVICE!!!!!!!!.,1,excellent service
171,Thank you for wasting my money.,0,thank wasting money
172,How can that be?The audio quality is poor.,0,audio quality poor
173,The iGo chargers and tips are really great.,1,igo charger tip really great
174,The file browser offers all the options that one needs.Handsfree is great.,1,file browser offer option one need handsfree great
175,Superb Phone on a Great Network.,1,superb phone great network
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,connected wife bluetooth motorola h phone worked like charm whether phone wa pocket case
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,put latest v g like slow crawl lock every
178,It only recognizes the Phone as its storage device.,0,recognizes phone storage device
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,like loud buzzing override conversation phone
180,Don't buy this product.,0,buy product
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,bluetoooth headset time still comfortable way fit ear
182,The sound quality is good and functionality is awesome.,1,sound quality good functionality awesome
183,"I have this phone and it is a thorn in my side, I really abhor it.",0,phone thorn side really abhor
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,recently problem could stay connected minute disconnected
185,Incredible!.,1,incredible
186,Design Flaw?.,0,design flaw
187,Great phone!.,1,great phone
188,Waste of 13 bucks.,0,waste buck
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,check voice mail night keypad backlight turn second first message lost
190,The replacement died in a few weeks.,0,replacement died week
191,Any ring tone..Overall good phone to buy..,1,ring tone overall good phone buy
192,Lately they have been extremely nice and helpful on the phone.,1,lately extremely nice helpful phone
193,I have had problems wit hit dropping signal and more.,0,problem wit hit dropping signal
194,Not impressed.,0,impressed
195,"Light weight, I hardly notice it is there.",1,light weight hardly notice
196,You'll love how thin it is.,1,love thin
197,Bad Choice.,0,bad choice
198,The pleather case doesn't fit.,0,pleather case fit
199,"useless phone, simply deaf.",0,useless phone simply deaf
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,color even prettier thought would graphic incredibly sharp
201,All in all I think it was a good investment.,1,think wa good investment
202,It makes very strange ticking noises before it ends the call.,0,make strange ticking noise end call
203,The best electronics of the available FM Transmitters.,1,best electronics available fm transmitter
204,Battery lasts only a few hours.,0,battery last hour
205,"great headset, very impressed - H500.",1,great headset impressed h
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,mega pixel camera part phone reasonably good
207,I've had this for nearly 2 years and it has worked great for me.,1,nearly year ha worked great
208,Good transmit audio.,1,good transmit audio
209,We are sending it back.,0,sending back
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,bother contacting company dollar product learned lesson bought form online anyway
211,"If you hate earbugs, avoid this phone by all means.",0,hate earbugs avoid phone mean
212,Great price also!,1,great price also
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,range decent able roam around house phone living room reception sound quality issue
214,fast service.,1,fast service
215,I would highly recommend this.,1,would highly recommend
216,I would recommend this.,1,would recommend
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",0,also like button felt like would crack use
218,WORST PHONE EVER.,0,worst phone ever
219,I'm still infatuated with this phone.,1,still infatuated phone
220,Freezes frequently4.,0,freeze frequently
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,kind embarrassing use look mostly embarrassing child like company
222,"Simple, lightweight and great fit.",1,simple lightweight great fit
223,"All in all, I'd expected a better consumer experience from Motorola.",0,expected better consumer experience motorola
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,horrible tick sound background call never experienced
225,These are certainly very comfortable and functionality is decent.,1,certainly comfortable functionality decent
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,usually like headband one lightweight mess hair
227,I'm a bit disappointed.,0,bit disappointed
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0,phone year tell great
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,ordered sony ericsson w think worked thats first used
230,The battery is completely useless to me.,0,battery completely useless
231,What a big waste of time.,0,big waste time
232,Don't waste your $$$ on this one.,0,waste one
233,Great sound and service.,1,great sound service
234,Really pleased with this product so far.,1,really pleased product far
235,One of my favorite purchases ever.,1,one favorite purchase ever
236,best bluetooth on the market.,1,best bluetooth market
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1,authentic leather nice shine comfort recommend case
238,I was very excited to get this headset because I thought it was really cute.,1,wa excited get headset thought wa really cute
239,Do not make the same mistake as me.,0,make mistake
240,Big Disappointment with calendar sync.,0,big disappointment calendar sync
241,the phone was unusable and was not new.,0,phone wa unusable wa new
242,Worst Customer Service Ever.,0,worst customer service ever
243,"No additional ear gels provided, and no instructions whatsoever.",0,additional ear gel provided instruction whatsoever
244,It defeats the purpose of a bluetooth headset.,0,defeat purpose bluetooth headset
245,Worth every penny.,1,worth every penny
246,Excellent wallet type phone case.,1,excellent wallet type phone case
247,Nice headphones for the price and they work great!,1,nice headphone price work great
248,Internet is excrutiatingly slow.,0,internet excrutiatingly slow
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,comfortable wear well probably important aspect using case
250,"It's fits like a glove and is strong, secure, and durable.",1,fit like glove strong secure durable
251,O my gosh the best phone I have ever had.,1,gosh best phone ever
252,It's very attractive and appears to be of good quality.,1,attractive appears good quality
253,I love all the features and form factor.,1,love feature form factor
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,product strong rubber petroleum smell wa unbearable caused return
255,poor quality and service.,0,poor quality service
256,"The cable looks so thin and flimsy, it is scary.",0,cable look thin flimsy scary
257,Great Earpiece.,1,great earpiece
258,Excellent hands free tool.,1,excellent hand free tool
259,Great for using with your home stereo.,1,great using home stereo
260,Good product - incredible value.,1,good product incredible value
261,Only had this a month but it's worked flawlessly so far.,1,month worked flawlessly far
262,Works great.,1,work great
263,Absolutel junk.,0,absolutel junk
264,THAT one didn't work either.,0,one work either
265,Battery life is real good.,1,battery life real good
266,Returned 8 hours later.,0,returned hour later
267,It's a great item.,1,great item
268,Don't waste your money!.,0,waste money
269,Love this headset!,1,love headset
270,"Not only will it drain your player, but may also potentially fry it.",0,drain player may also potentially fry
271,Worked perfectly!,1,worked perfectly
272,Unreliable - I'm giving up.,0,unreliable giving
273,I gave it 5 stars because of the sound quality.,1,gave star sound quality
274,Avoid this one if you can.,0,avoid one
275,Reversible plug works great.,1,reversible plug work great
276,I wasted my little money with this earpiece.,0,wasted little money earpiece
277,Very good phone.,1,good phone
278,"Best of all is the rotating feature, very helpful.",1,best rotating feature helpful
279,Comfort for our whole family.,1,comfort whole family
280,"Good product, good seller.",1,good product good seller
281,I love this bluetooth!,1,love bluetooth
282,"First of all, it doesn't wear well.",0,first wear well
283,I am very impressed with this headset from Plantronics.,1,impressed headset plantronics
284,I got it because it was so small and adorable.,1,got wa small adorable
285,Great phone!.,1,great phone
286,I wouldn't recommend buying this product.,0,recommend buying product
287,Piece of Junk.,0,piece junk
288,Poorly contstruct hinge.,0,poorly contstruct hinge
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,item great installed let charged overnite ha working good every since problem
290,Great Phone.,1,great phone
291,Don't buy it.,0,buy
292,Excellent Phone.,1,excellent phone
293,DO NOT PURCHASE THIS PHONE.,0,purchase phone
294,The voice recognition thru the handset is excellent.,1,voice recognition thru handset excellent
295,This is hands down the best phone I've ever had.,1,hand best phone ever
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,work great cat attacked phone scratched protective strip instead destroying screen
297,This one works and was priced right.,1,one work wa priced right
298,Customer service was terrible.,0,customer service wa terrible
299,Battery life still not long enough in Motorola Razor V3i.,0,battery life still long enough motorola razor v
300,Sending it back.,0,sending back
301,Now I know that I made a wise decision.,1,know made wise decision
302,Someone shouldve invented this sooner.,1,someone shouldve invented sooner
303,Good price.,1,good price
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,everything worked first try device wa certainly engineered clever way construction feel good
305,I received it quickly and it works great!!,1,received quickly work great
306,Has been working great.,1,ha working great
307,"As many people complained, I found this headset's microphone was very weak.",0,many people complained found headset microphone wa weak
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,year old nokia tracfone hold charge lot better
309,They do not care about the consumer one bit.,0,care consumer one bit
310,"This is a good battery, and it got here really fast.",1,good battery got really fast
311,The instruction manual is lacking.,0,instruction manual lacking
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1,also slim enough fit alarm clock docking station without removing case
313,Phone now holds charge like it did when it was new.,1,phone hold charge like wa new
314,The battery is unreliable as well as the service use antena.,0,battery unreliable well service use antena
315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
316,We have gotten a lot of compliments on it.,1,gotten lot compliment
317,This is definitely a must have if your state does not allow cell phone usage while driving.,1,definitely must state doe allow cell phone usage driving
318,I want my money back.,0,want money back
319,I love this device.,1,love device
320,I am also very happy with the price.,1,also happy price
321,I ordered this product first and was unhappy with it immediately.,0,ordered product first wa unhappy immediately
322,The Ngage is still lacking in earbuds.,0,ngage still lacking earbuds
323,I was able to do voice dialing in the car with no problem.,1,wa able voice dialing car problem
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,bar cell phone home cant hear anything
325,"good item, low price.",1,good item low price
326,"However-the riingtones are not the best, and neither are the games.",0,however riingtones best neither game
327,The plug did not work very well.,0,plug work well
328,AMAZON SUCKS.,0,amazon suck
329,Rip off---- Over charge shipping.,0,rip charge shipping
330,VERY comfortable.,1,comfortable
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,battery working well replacement original came phone year ago
332,The reception is excellent!,1,reception excellent
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,fit comfortably either ear sound clear loud charge last couple day
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,clear quality sound mess sound ipod since sound button headset
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,long lasting battery recharge frequentyly flip phone
336,Obviously there is a problem with the adhesive.,0,obviously problem adhesive
337,Very disappointing.,0,disappointing
338,"It was an inexpensive piece, but I would still have expected better quality.",0,wa inexpensive piece would still expected better quality
339,It is practically useless and did not add any kind of boost to my reception after I bought it.,0,practically useless add kind boost reception bought
340,Excellent sound quality.,1,excellent sound quality
341,Was not happy.,0,wa happy
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,piece junk broke phone day
343,New Battery works great in phone.,1,new battery work great phone
344,Worst customer service.,0,worst customer service
345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,dropped phone time say even concrete phone still great knock wood
346,Reception is terrible and full of static.,0,reception terrible full static
347,Good audio quality.,1,good audio quality
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1,little device ha transformed organizational capability made life whole lot easier
349,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,wa sitting vehicle cradle belt headset lost signal
350,Were JERKS on the phone.,0,jerk phone
351,Works like a charm.. Works as advertised.,1,work like charm work advertised
